Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	0	5000	N	3850.25	29957	0	Dynamic	3.607233	1.370366	13.914304	5.285959
2	4	0	0	5000	N	3860.35	29957	0	Dynamic	3.611119	1.371797	13.957273	5.302109
3	4	0	0	5000	N	3847.76	29957	0	Dynamic	3.611571	1.370720	13.913638	5.280724
4	4	0	0	5000	N	3948.43	29957	0	Dynamic	3.602253	1.371520	14.240198	5.421807
5	4	0	0	5000	N	3853.99	29957	0	Dynamic	3.612396	1.372861	13.938869	5.297351
6	4	0	0	5000	N	3859.55	29957	0	Dynamic	3.609767	1.372509	13.949166	5.303766
7	4	0	0	5000	N	3877.63	29957	0	Dynamic	3.599843	1.369470	13.975878	5.316771
