Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	5500	Y	338.898	0	29957	Dynamic	4.358501	2.337140	1.496865	0.802657
2	4	0	4	5500	Y	338.594	0	29957	Dynamic	4.370628	2.340899	1.499667	0.803219
3	4	0	4	5500	Y	338.146	0	29957	Dynamic	4.342710	2.331873	1.488157	0.799085
4	4	0	4	5500	Y	339.2	0	29957	Dynamic	4.372576	2.341946	1.502945	0.804975
5	4	0	4	5500	Y	337.731	0	29957	Dynamic	4.377788	2.347888	1.498322	0.803578
6	4	0	4	5500	Y	339.016	0	29957	Dynamic	4.368653	2.343688	1.500818	0.805156
7	4	0	4	5500	Y	339.021	0	29957	Dynamic	4.373156	2.338905	1.502353	0.803507
