Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	1750	N	184.887	1	29956	Dynamic	4.436090	2.324911	0.840319	0.440403
2	4	0	4	1750	N	182.726	0	29957	Dynamic	4.416334	2.317599	0.826981	0.433982
3	4	0	4	1750	N	188.383	0	29957	Dynamic	4.392463	2.281995	0.847369	0.440230
4	4	0	4	1750	N	183.442	23	29934	Dynamic	4.424865	2.310333	0.831761	0.434283
5	4	0	4	1750	N	188.395	0	29957	Dynamic	4.407217	2.310657	0.850272	0.445789
6	4	0	4	1750	N	181.901	0	29957	Dynamic	4.385103	2.299890	0.817527	0.428775
7	4	0	4	1750	N	188.795	0	29957	Dynamic	4.428156	2.299868	0.856061	0.444616
