Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	0	500	N	683.297	29957	0	Dynamic	4.613947	2.116975	3.174474	1.456515
2	4	0	0	500	N	683.45	29957	0	Dynamic	4.619873	2.116983	3.179275	1.456852
3	4	0	0	500	N	683.677	29957	0	Dynamic	4.617614	2.120975	3.178845	1.460116
4	4	0	0	500	N	684.691	29957	0	Dynamic	4.625840	2.118939	3.189076	1.460807
5	4	0	0	500	N	687.108	29957	0	Dynamic	4.627984	2.120951	3.201796	1.467345
6	4	0	0	500	N	683.528	29957	0	Dynamic	4.621665	2.120985	3.180846	1.459761
7	4	0	0	500	N	683.624	29957	0	Dynamic	4.623745	2.122978	3.182705	1.461329
