Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	1500	N	166.044	0	29957	Dynamic	4.399822	2.299907	0.762039	0.398339
2	4	0	4	1500	N	166.687	0	29957	Dynamic	4.381436	2.298596	0.758552	0.397953
3	4	0	4	1500	N	171.847	0	29957	Dynamic	4.388653	2.282601	0.774051	0.402595
4	4	0	4	1500	N	172.385	0	29957	Dynamic	4.363405	2.273032	0.771963	0.402139
5	4	0	4	1500	N	168.403	0	29957	Dynamic	4.399733	2.299861	0.761898	0.398265
6	4	0	4	1500	N	169.178	0	29957	Dynamic	4.398258	2.299248	0.775950	0.405639
7	4	0	4	1500	N	165.925	0	29957	Dynamic	4.357606	2.284047	0.754937	0.395702
