Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	5250	Y	331.631	0	29957	Dynamic	4.315542	2.322966	1.453841	0.782572
2	4	0	4	5250	Y	331.024	0	29957	Dynamic	4.363577	2.323540	1.471292	0.783441
3	4	0	4	5250	Y	331.466	0	29957	Dynamic	4.377051	2.337094	1.476073	0.788139
4	4	0	4	5250	Y	331.534	0	29957	Dynamic	4.337831	2.331077	1.462238	0.785782
5	4	0	4	5250	Y	331.54	0	29957	Dynamic	4.362185	2.335032	1.472160	0.788032
6	4	0	4	5250	Y	331.427	0	29957	Dynamic	4.347243	2.328318	1.464588	0.784411
7	4	0	4	5250	Y	331.107	0	29957	Dynamic	4.341102	2.338496	1.464031	0.788655
