Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	CPU Power[W]	FPGA Power[W]	CPU Energy[J]	FPGA Energy[J]
1	0	0	4	500	N	803.42	0	29957	Dynamic	2.012587	2.208813	1.626207	1.784761
2	0	0	4	500	N	803.942	0	29957	Dynamic	2.005361	2.212141	1.621453	1.788646
3	0	0	4	500	N	803.947	0	29957	Dynamic	2.015864	2.207724	1.629929	1.785057
4	0	0	4	500	N	805.144	0	29957	Dynamic	2.011360	2.203904	1.628690	1.784601
5	0	0	4	500	N	807.008	0	29957	Dynamic	2.003578	2.222147	1.626150	1.803546
6	0	0	4	500	N	807.232	0	29957	Dynamic	2.010068	2.210830	1.631859	1.794846
7	0	0	4	500	N	803.069	0	29957	Dynamic	2.016396	2.220690	1.628599	1.793603
