Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Work Offloaded on FPGA[%]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	4	0	10000	Y	1147.79	100	Dynamic	3.579131	1.618087	4.137936	1.870716
2	4	4	0	10000	Y	1147.29	100	Dynamic	3.574420	1.614532	4.131560	1.866187
3	4	4	0	10000	Y	1152.09	100	Dynamic	3.584992	1.618020	4.146507	1.871450
4	4	4	0	10000	Y	1155.08	100	Dynamic	3.594285	1.622440	4.168000	1.881412
5	4	4	0	10000	Y	1154.83	100	Dynamic	3.587455	1.615373	4.159139	1.872793
6	4	4	0	10000	Y	1154.72	100	Dynamic	3.582710	1.622467	4.153269	1.880850
7	4	4	0	10000	Y	1154.01	100	Dynamic	3.594557	1.620200	4.164439	1.877066
