Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Work Offloaded on FPGA[%]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	0	2000	Y	683.995	0	Dynamic	3.992310	1.499971	2.749634	1.033079
2	4	0	0	2000	Y	688.16	0	Dynamic	3.997262	1.497999	2.769714	1.037968
3	4	0	0	2000	Y	683.981	0	Dynamic	3.999324	1.494951	2.754290	1.029556
4	4	0	0	2000	Y	683.935	0	Dynamic	3.998298	1.495992	2.753443	1.030221
5	4	0	0	2000	Y	683.871	0	Dynamic	4.001491	1.495997	2.755402	1.030134
6	4	0	0	2000	Y	685.7	0	Dynamic	3.991076	1.497995	2.755573	1.034266
7	4	0	0	2000	Y	684.333	0	Dynamic	4.006355	1.495987	2.760596	1.030816
