Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	1	0	1	1500	Y	1480.17	7788	22169	Dynamic	3.989618	1.971030	5.924203	2.926792
2	1	0	1	1500	Y	1574.88	6698	23259	Dynamic	3.992515	1.971343	6.306656	3.113973
3	1	0	1	1500	Y	1549.02	6909	23048	Dynamic	3.990290	1.973832	6.199802	3.066787
4	1	0	1	1500	Y	1416.83	7722	22235	Dynamic	4.011822	1.983058	5.703189	2.819108
5	1	0	1	1500	Y	1624.79	6849	23108	Dynamic	3.991504	1.969271	6.504287	3.208991
6	1	0	1	1500	Y	1605.28	8161	21796	Dynamic	3.994268	1.968971	6.430724	3.170019
7	1	0	1	1500	Y	1396.91	7457	22500	Dynamic	4.001402	1.978901	5.608342	2.773617
