Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Work Offloaded on FPGA[%]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	0	2	10000	Y	834.7	100	Dynamic	4.219630	2.250869	3.541248	1.889001
2	0	0	2	10000	Y	834.366	100	Dynamic	4.224085	2.246587	3.543555	1.884646
3	0	0	2	10000	Y	833.816	100	Dynamic	4.227474	2.249889	3.544085	1.886185
4	0	0	2	10000	Y	834.848	100	Dynamic	4.226691	2.246557	3.547765	1.885697
5	0	0	2	10000	Y	835.19	100	Dynamic	4.224903	2.248116	3.547762	1.887802
6	0	0	2	10000	Y	836.245	100	Dynamic	4.219128	2.241351	3.547327	1.884466
7	0	0	2	10000	Y	833.871	100	Dynamic	4.218138	2.239528	3.536474	1.877613
