Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Work Offloaded on FPGA[%]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	6	9000	Y	504.68	100	Dynamic	4.682305	2.425043	2.384329	1.234883
2	4	0	6	9000	Y	505.097	100	Dynamic	4.698187	2.405234	2.394399	1.225811
3	4	0	6	9000	Y	504.292	100	Dynamic	4.676002	2.414293	2.379285	1.228462
4	4	0	6	9000	Y	503.523	100	Dynamic	4.687710	2.424616	2.381732	1.231899
5	4	0	6	9000	Y	506.243	100	Dynamic	4.714860	2.429062	2.408370	1.240775
6	4	0	6	9000	Y	505.168	100	Dynamic	4.681294	2.421430	2.386119	1.234235
7	4	0	6	9000	Y	504.608	100	Dynamic	4.668010	2.422321	2.376720	1.233326
