Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	2	0	5750	Y	1356.58	18457	11500	Dynamic	4.463529	2.470246	6.076416	3.362864
2	4	2	0	5750	Y	1357.61	18456	11500	Dynamic	4.468593	2.470261	6.087790	3.365361
3	4	2	0	5750	Y	1359.53	18457	11500	Dynamic	4.465510	2.469125	6.092270	3.368613
4	4	2	0	5750	Y	1356.33	18457	11500	Dynamic	4.465441	2.470254	6.077977	3.362299
5	4	2	0	5750	Y	1355.9	18456	11500	Dynamic	4.471576	2.471279	6.084346	3.362598
6	4	2	0	5750	Y	1356.39	18456	11500	Dynamic	4.468267	2.469555	6.081940	3.361412
7	4	2	0	5750	Y	1355.45	18457	11500	Dynamic	4.477670	2.473328	6.090445	3.364176
