Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	0	4	3500	N	3401.87	0	29957	Dynamic	4.613146	2.495246	15.714214	8.499803
2	0	0	4	3500	N	3401.95	0	29957	Dynamic	4.614186	2.495650	15.718093	8.501361
3	0	0	4	3500	N	3404.47	0	29957	Dynamic	4.612377	2.493388	15.723525	8.499922
4	0	0	4	3500	N	3406.34	0	29957	Dynamic	4.610395	2.493989	15.725466	8.506677
5	0	0	4	3500	N	3400.62	0	29957	Dynamic	4.610233	2.494063	15.698587	8.492687
6	0	0	4	3500	N	3399.44	0	29957	Dynamic	4.615538	2.493686	15.711114	8.488410
7	0	0	4	3500	N	3403.58	0	29957	Dynamic	4.613291	2.492821	15.722617	8.495816
