Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	2	4	750	N	2485.54	22177	7780	Dynamic	4.677121	2.436336	11.647201	6.067087
2	4	2	4	750	N	2388.67	22337	7620	Dynamic	4.680815	2.438366	11.203034	5.835970
3	4	2	4	750	N	2201.02	22672	7285	Dynamic	4.686521	2.437914	10.336804	5.377175
4	4	2	4	750	N	2147.54	22594	7363	Dynamic	4.674083	2.439476	10.058985	5.249939
5	4	2	4	750	N	2439.22	21862	8095	Dynamic	4.676202	2.440393	11.428344	5.964167
6	4	2	4	750	N	2123.15	23505	6452	Dynamic	4.647386	2.441204	9.888196	5.194125
7	4	2	4	750	N	2504.62	22102	7855	Dynamic	4.671087	2.435493	11.721392	6.111504
