Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	1	0	500	N	57544.3	0	29957	Dynamic	4.256377	2.399004	244.949858	138.060033
2	0	1	0	500	N	57544.4	0	29957	Dynamic	4.257010	2.399004	244.986444	138.060134
3	0	1	0	500	N	57544.5	0	29957	Dynamic	4.257265	2.398743	245.001555	138.045379
4	0	1	0	500	N	57544.3	0	29957	Dynamic	4.256387	2.398458	244.950034	138.028440
5	0	1	0	500	N	57544.3	0	29957	Dynamic	4.256444	2.399099	244.953638	138.065457
6	0	1	0	500	N	57544.4	0	29957	Dynamic	4.256827	2.398838	244.975955	138.050619
7	0	1	0	500	N	57544.5	0	29957	Dynamic	4.256391	2.398577	244.951191	138.035778
