Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	2	0	3500	N	1227	22957	7000	Dynamic	4.607974	2.437754	5.675510	3.002512
2	4	2	0	3500	N	1227.19	22957	7000	Dynamic	4.606387	2.432768	5.674412	2.996823
3	4	2	0	3500	N	1226.04	22957	7000	Dynamic	4.614451	2.437223	5.678956	2.999464
4	4	2	0	3500	N	1228.26	22957	7000	Dynamic	4.618362	2.437203	5.694131	3.004908
5	4	2	0	3500	N	1227.31	22957	7000	Dynamic	4.600734	2.438869	5.668040	3.004652
6	4	2	0	3500	N	1228.34	22957	7000	Dynamic	4.610551	2.439418	5.684941	3.007873
7	4	2	0	3500	N	1227.42	22957	7000	Dynamic	4.612336	2.438315	5.682825	3.004230
