Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	0	1	3500	N	10301.7	0	29957	Dynamic	4.290093	2.417477	44.214721	24.915094
2	0	0	1	3500	N	10301.8	0	29957	Dynamic	4.289058	2.416550	44.204492	24.905786
3	0	0	1	3500	N	10301.4	0	29957	Dynamic	4.288397	2.417212	44.195816	24.911562
4	0	0	1	3500	N	10301.4	0	29957	Dynamic	4.288130	2.417211	44.193163	24.911606
5	0	0	1	3500	N	10301.6	0	29957	Dynamic	4.292342	2.417607	44.237668	24.916307
6	0	0	1	3500	N	10301.4	0	29957	Dynamic	4.287841	2.416417	44.190221	24.903439
7	0	0	1	3500	N	10301.7	0	29957	Dynamic	4.289938	2.417608	44.212977	24.916362
