Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	1	0	1000	N	29715.2	0	29957	Dynamic	4.262498	2.404546	126.680176	71.462378
2	0	1	0	1000	N	29715.4	0	29957	Dynamic	4.261770	2.403214	126.659500	71.423344
3	0	1	0	1000	N	29715.2	0	29957	Dynamic	4.264005	2.404362	126.725396	71.457172
4	0	1	0	1000	N	29715.4	0	29957	Dynamic	4.262168	2.402846	126.671349	71.412437
5	0	1	0	1000	N	29715.4	0	29957	Dynamic	4.261308	2.403072	126.645824	71.419142
6	0	1	0	1000	N	29715.5	0	29957	Dynamic	4.263200	2.403811	126.702526	71.441381
7	0	1	0	1000	N	29714.9	0	29957	Dynamic	4.261792	2.403259	126.658537	71.423787
