Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	2	4	500	N	2277.07	24403	5554	Dynamic	4.698841	2.440866	10.721711	5.569515
2	4	2	4	500	N	2522.72	23957	6000	Dynamic	4.679578	2.435189	11.845732	6.164358
3	4	2	4	500	N	2791.87	23957	6000	Dynamic	4.659354	2.430391	13.030270	6.796789
4	4	2	4	500	N	2783.14	23957	6000	Dynamic	4.660748	2.432044	12.993523	6.780204
5	4	2	4	500	N	3058.29	23957	6000	Dynamic	4.648702	2.428197	14.239053	7.437611
6	4	2	4	500	N	2438.83	23957	6000	Dynamic	4.674958	2.439264	11.423335	5.960382
7	4	2	4	500	N	2511.43	23957	6000	Dynamic	4.676668	2.435968	11.767344	6.129337
