Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	2	4	4000	N	2332.76	0	29957	Dynamic	4.707397	2.520067	11.003340	5.890550
2	0	2	4	4000	N	2337.89	0	29957	Dynamic	4.703275	2.515241	11.018012	5.892268
3	0	2	4	4000	N	2357.87	0	29957	Dynamic	4.704859	2.517616	11.114895	5.947690
4	0	2	4	4000	N	2338.6	0	29957	Dynamic	4.713290	2.517570	11.044800	5.899502
5	0	2	4	4000	N	2346.95	0	29957	Dynamic	4.707781	2.520256	11.070304	5.926358
6	0	2	4	4000	N	2344.36	0	29957	Dynamic	4.705900	2.514946	11.075897	5.919226
7	0	2	4	4000	N	2348.24	0	29957	Dynamic	4.711757	2.520067	11.104321	5.939108
