Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	1000	N	1093.47	25957	4000	Dynamic	4.701144	2.443739	5.161932	2.683265
2	4	0	4	1000	N	1098.88	25957	4000	Dynamic	4.691239	2.446472	5.197536	2.710505
3	4	0	4	1000	N	1090.66	25957	4000	Dynamic	4.706391	2.443760	5.154525	2.676451
4	4	0	4	1000	N	1093.42	25957	4000	Dynamic	4.701135	2.442490	5.161737	2.681797
5	4	0	4	1000	N	1085.03	25957	4000	Dynamic	4.704730	2.445114	5.126178	2.664147
6	4	0	4	1000	N	2075.17	25473	4484	Dynamic	4.492531	2.421084	9.343126	5.035133
7	4	0	4	1000	N	1094.77	25957	4000	Dynamic	4.702121	2.446241	5.169220	2.689246
