Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	0	1	2250	N	15136.7	0	29957	Dynamic	4.273972	2.410814	64.713105	36.502644
2	0	0	1	2250	N	15136.8	0	29957	Dynamic	4.275715	2.411354	64.739903	36.511047
3	0	0	1	2250	N	15136.4	0	29957	Dynamic	4.273737	2.411535	64.708416	36.512922
4	0	0	1	2250	N	15136.4	0	29957	Dynamic	4.273464	2.410273	64.704462	36.493907
5	0	0	1	2250	N	15136.7	0	29957	Dynamic	4.275323	2.410634	64.733843	36.500072
6	0	0	1	2250	N	15136.8	0	29957	Dynamic	4.274847	2.411089	64.727052	36.507198
7	0	0	1	2250	N	15136.5	0	29957	Dynamic	4.273070	2.409912	64.698870	36.488662
