Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Work Offloaded on FPGA[%]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	4	2	1000	Y	591.313	36	Dynamic	4.033253	1.562904	2.404034	0.931574
2	4	4	2	1000	Y	576.693	39	Dynamic	4.057131	1.580205	2.358936	0.918778
3	4	4	2	1000	Y	589.01	38	Dynamic	4.028467	1.574762	2.391817	0.934981
4	4	4	2	1000	Y	670.809	36	Dynamic	3.947055	1.553617	2.666006	1.049378
5	4	4	2	1000	Y	614.33	37	Dynamic	3.995603	1.568976	2.473382	0.971237
6	4	4	2	1000	Y	627.194	36	Dynamic	4.009919	1.567496	2.533905	0.990516
7	4	4	2	1000	Y	617.293	36	Dynamic	4.016744	1.558208	2.498447	0.969218
