Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	4	0	2250	Y	1759.79	8044	21913	Dynamic	4.291454	2.013733	7.584487	3.558964
2	4	4	0	2250	Y	1229.64	6333	23624	Dynamic	4.346524	2.065140	5.365143	2.549110
3	4	4	0	2250	Y	882.475	6861	23096	Dynamic	4.471059	2.099990	3.966746	1.863121
4	4	4	0	2250	Y	1779.88	8472	21485	Dynamic	4.236811	2.008522	7.560985	3.584395
5	4	4	0	2250	Y	959.708	7171	22786	Dynamic	4.449978	2.095269	4.291742	2.020764
6	4	4	0	2250	Y	1376.95	6788	23169	Dynamic	4.341968	2.049887	5.999243	2.832302
7	4	4	0	2250	Y	1008.2	6008	23949	Dynamic	4.435033	2.078729	4.492305	2.105573
