Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	1	0	1000	N	2401.53	0	29957	Dynamic	3.978952	2.042588	9.573774	4.914680
2	0	1	0	1000	N	2399.93	0	29957	Dynamic	3.982951	2.044293	9.577059	4.915531
3	0	1	0	1000	N	2402.61	0	29957	Dynamic	3.981263	2.045447	9.583634	4.923768
4	0	1	0	1000	N	2399.27	0	29957	Dynamic	3.982983	2.044879	9.574504	4.915588
5	0	1	0	1000	N	2404.16	0	29957	Dynamic	3.982899	2.040338	9.593785	4.914652
6	0	1	0	1000	N	2400.66	0	29957	Dynamic	3.986923	2.045995	9.589569	4.921142
7	0	1	0	1000	N	2399.6	0	29957	Dynamic	3.975018	2.039756	9.556630	4.903927
