Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	4	0	4250	N	595.292	6720	23237	Dynamic	4.571046	2.162829	2.742764	1.297762
2	4	4	0	4250	N	629.635	5437	24520	Dynamic	4.579795	2.144968	2.905265	1.360694
3	4	4	0	4250	N	634.796	5357	24600	Dynamic	4.535348	2.161129	2.900371	1.382050
4	4	4	0	4250	N	693.739	5019	24938	Dynamic	4.514854	2.138755	3.153554	1.493886
5	4	4	0	4250	N	1041.96	9241	20716	Dynamic	4.378129	2.056274	4.582489	2.152256
6	4	4	0	4250	N	1127.92	7995	21962	Dynamic	4.348972	2.043238	4.925927	2.314304
7	4	4	0	4250	N	651.862	5882	24075	Dynamic	4.532914	2.131891	2.976311	1.399799
