Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Workload on CPU[#]	Workload on FPGA[#]	Scheduler Type	CPU Power[W]	FPGA Power[W]	CPU Energy[J]	FPGA Energy[J]
1	0	0	1	16	N	3050.82	0	1024	MultiDynamic	2.642695	1.864628	8.062385	5.688641
2	0	0	1	16	N	3050.85	0	1024	MultiDynamic	2.652584	1.865923	8.092627	5.692644
3	0	0	1	16	N	3050.89	0	1024	MultiDynamic	2.647929	1.863309	8.078529	5.684742
4	0	0	1	16	N	3050.81	0	1024	MultiDynamic	2.649525	1.867736	8.083187	5.698103
5	0	0	1	16	N	3050.86	0	1024	MultiDynamic	2.645692	1.867636	8.071625	5.697886
6	0	0	1	16	N	3050.86	0	1024	MultiDynamic	2.648329	1.870215	8.079682	5.705765
7	0	0	1	16	N	3050.85	0	1024	MultiDynamic	2.651745	1.866893	8.090086	5.695617
