Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Workload on CPU[#]	Workload on FPGA[#]	Scheduler Type	CPU Power[W]	FPGA Power[W]	CPU Energy[J]	FPGA Energy[J]
1	4	0	4	8	N	765.837	468	556	MultiDynamic	3.681551	2.025236	2.819468	1.551001
2	4	0	4	8	N	765.424	480	544	MultiDynamic	3.669187	2.014786	2.808484	1.542165
3	4	0	4	8	N	773.935	476	548	MultiDynamic	3.629800	2.022889	2.809230	1.565585
4	4	0	4	8	N	770.127	475	549	MultiDynamic	3.660235	2.020608	2.818845	1.556124
5	4	0	4	8	N	781.126	472	552	MultiDynamic	3.658717	2.008869	2.857918	1.569179
6	4	0	4	8	N	785.414	472	552	MultiDynamic	3.637687	2.017683	2.857089	1.584716
7	4	0	4	8	N	795.327	440	584	MultiDynamic	3.588163	2.020089	2.853762	1.606631
