Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	2	0	5250	N	1490.62	19457	10500	Dynamic	4.342191	2.238360	6.492610	3.346881
2	4	2	0	5250	N	1490.4	19457	10500	Dynamic	4.352935	2.243871	6.507621	3.354579
3	4	2	0	5250	N	1493.98	19457	10500	Dynamic	4.341620	2.240114	6.506381	3.357050
4	4	2	0	5250	N	1492.59	19457	10500	Dynamic	4.358408	2.241052	6.525595	3.355400
5	4	2	0	5250	N	1493.78	19457	10500	Dynamic	4.349256	2.239220	6.516985	3.355277
6	4	2	0	5250	N	1492.34	19456	10500	Dynamic	4.343933	2.236519	6.502778	3.348023
7	4	2	0	5250	N	1491.36	19457	10500	Dynamic	4.359289	2.238374	6.521480	3.348599
