Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	2	0	4000	N	1413.52	21957	8000	Dynamic	4.351016	2.222165	6.170918	3.151631
2	4	2	0	4000	N	1412.06	21957	8000	Dynamic	4.356301	2.224125	6.171919	3.151096
3	4	2	0	4000	N	1412.21	21957	8000	Dynamic	4.337798	2.223163	6.146453	3.150116
4	4	2	0	4000	N	1411.93	21957	8000	Dynamic	4.344663	2.223177	6.154946	3.149504
5	4	2	0	4000	N	1412.88	21956	8000	Dynamic	4.347480	2.223152	6.163057	3.151575
6	4	2	0	4000	N	1413.81	21956	8000	Dynamic	4.341383	2.223130	6.158574	3.153675
7	4	2	0	4000	N	1411.86	21957	8000	Dynamic	4.356386	2.221358	6.171218	3.146756
