Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	0	3000	N	3845.82	29957	0	Dynamic	4.417400	2.173568	17.009440	8.369440
2	4	0	0	3000	N	3823.78	29957	0	Dynamic	4.422798	2.174637	16.932661	8.325585
3	4	0	0	3000	N	3833.63	29957	0	Dynamic	4.419788	2.173207	16.964855	8.341609
4	4	0	0	3000	N	3853.54	29957	0	Dynamic	4.418580	2.172859	17.047597	8.383241
5	4	0	0	3000	N	3830.92	29957	0	Dynamic	4.424332	2.174279	16.970193	8.339776
6	4	0	0	3000	N	3833.61	29957	0	Dynamic	4.422365	2.173563	16.974447	8.342827
7	4	0	0	3000	N	3881.33	29957	0	Dynamic	4.418626	2.173229	17.171113	8.445330
