Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	0	1	500	N	65117.5	0	29957	Dynamic	4.030790	2.173303	262.493370	141.529965
2	0	0	1	500	N	65117.6	0	29957	Dynamic	4.030835	2.172946	262.496636	141.506933
3	0	0	1	500	N	65117.9	0	29957	Dynamic	4.030665	2.173030	262.486909	141.513087
4	0	0	1	500	N	65117.3	0	29957	Dynamic	4.030198	2.172800	262.454054	141.496771
5	0	0	1	500	N	65116.3	0	29957	Dynamic	4.029635	2.172609	262.413399	141.482192
6	0	0	1	500	N	65117	0	29957	Dynamic	4.030164	2.172692	262.450629	141.489146
7	0	0	1	500	N	65116.5	0	29957	Dynamic	4.029966	2.173261	262.435598	141.525007
