Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	2	0	3750	N	1398.01	22457	7500	Dynamic	4.353270	2.222786	6.106532	3.118005
2	4	2	0	3750	N	1402.28	22457	7500	Dynamic	4.343445	2.222362	6.111081	3.126788
3	4	2	0	3750	N	1402.64	22457	7500	Dynamic	4.333325	2.222351	6.098588	3.127668
4	4	2	0	3750	N	1401.14	22457	7500	Dynamic	4.341815	2.220706	6.104088	3.122055
5	4	2	0	3750	N	1402.04	22457	7500	Dynamic	4.344752	2.221685	6.112030	3.125381
6	4	2	0	3750	N	1400.44	22457	7500	Dynamic	4.339440	2.221717	6.097611	3.121870
7	4	2	0	3750	N	1403.51	22457	7500	Dynamic	4.358639	2.225232	6.137994	3.133653
