Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	4250	Y	1471	12957	17000	Dynamic	4.219707	2.247211	6.226311	3.315831
2	4	0	4	4250	Y	1472.61	12957	17000	Dynamic	4.222432	2.242562	6.237145	3.312591
3	4	0	4	4250	Y	1473.74	12956	17000	Dynamic	4.222900	2.242549	6.242666	3.315134
4	4	0	4	4250	Y	1468.85	12957	17000	Dynamic	4.209777	2.240745	6.202592	3.301463
5	4	0	4	4250	Y	1473.5	12957	17000	Dynamic	4.215562	2.246261	6.230760	3.320058
6	4	0	4	4250	Y	1481.14	12957	17000	Dynamic	4.217634	2.247117	6.268287	3.339686
7	4	0	4	4250	Y	1471.9	12957	17000	Dynamic	4.216841	2.244422	6.225899	3.313747
