Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Workload on CPU[#]	Workload on FPGA[#]	Scheduler Type	CPU Power[W]	FPGA Power[W]	CPU Energy[J]	FPGA Energy[J]
1	0	0	4	16	N	777.203	0	1024	MultiDynamic	2.954645	1.904656	2.296358	1.480303
2	0	0	4	16	N	765.69	0	1024	MultiDynamic	2.954051	1.918112	2.261888	1.468680
3	0	0	4	16	N	775.534	0	1024	MultiDynamic	2.960172	1.913567	2.295714	1.484036
4	0	0	4	16	N	768.73	0	1024	MultiDynamic	2.949967	1.914701	2.267727	1.471887
5	0	0	4	16	N	767.389	0	1024	MultiDynamic	2.949975	1.921553	2.263777	1.474578
6	0	0	4	16	N	767.743	0	1024	MultiDynamic	2.958561	1.911263	2.271415	1.467359
7	0	0	4	16	N	768.918	0	1024	MultiDynamic	2.958563	1.914714	2.274893	1.472259
