Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	0	0	1	3750	N	1415.17	0	29957	Dynamic	4.036512	2.060553	5.731087	2.925597
2	0	0	1	3750	N	1412.92	0	29957	Dynamic	4.029845	2.058645	5.712473	2.918215
3	0	0	1	3750	N	1412.9	0	29957	Dynamic	4.032764	2.058701	5.716611	2.918294
4	0	0	1	3750	N	1412.92	0	29957	Dynamic	4.048270	2.067337	5.738587	2.930534
5	0	0	1	3750	N	1412.97	0	29957	Dynamic	4.033708	2.062507	5.718218	2.923828
6	0	0	1	3750	N	1412.9	0	29957	Dynamic	4.032678	2.063465	5.716499	2.925052
7	0	0	1	3750	N	1412.92	0	29957	Dynamic	4.033646	2.063460	5.717833	2.925026
