Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	2	4	5000	Y	390.882	0	29957	Dynamic	4.774228	2.498532	1.887821	0.987967
2	4	2	4	5000	Y	403.738	0	29957	Dynamic	4.712721	2.476829	1.924086	1.011227
3	4	2	4	5000	Y	397.012	0	29957	Dynamic	4.786221	2.533841	1.921920	1.017471
4	4	2	4	5000	Y	400.117	0	29957	Dynamic	4.734149	2.517092	1.915717	1.018565
5	4	2	4	5000	Y	397.906	0	29957	Dynamic	4.722411	2.485670	1.900485	1.000332
6	4	2	4	5000	Y	394.272	0	29957	Dynamic	4.787182	2.539090	1.909164	1.012608
7	4	2	4	5000	Y	397.627	0	29957	Dynamic	4.781984	2.515278	1.923118	1.011542
