Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	4500	Y	348.819	11957	18000	Dynamic	5.019451	2.462903	1.773613	0.870262
2	4	0	4	4500	Y	349.436	11957	18000	Dynamic	4.992631	2.458623	1.767446	0.870379
3	4	0	4	4500	Y	349.155	11957	18000	Dynamic	4.964075	2.447888	1.755786	0.865815
4	4	0	4	4500	Y	349.866	11957	18000	Dynamic	4.990899	2.458629	1.768669	0.871286
5	4	0	4	4500	Y	348.75	11957	18000	Dynamic	4.947380	2.434557	1.747881	0.860115
6	4	0	4	4500	Y	349.255	11957	18000	Dynamic	4.972196	2.441573	1.759005	0.863751
7	4	0	4	4500	Y	349.47	11957	18000	Dynamic	4.978322	2.460928	1.762337	0.871174
