Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	2	4	4000	Y	373.842	5957	24000	Dynamic	4.826482	2.501640	1.826258	0.946578
2	4	2	4	4000	Y	389.255	5957	24000	Dynamic	4.808466	2.502613	1.893530	0.985506
3	4	2	4	4000	Y	379.146	5957	24000	Dynamic	4.865574	2.494510	1.866946	0.957156
4	4	2	4	4000	Y	389.214	5957	24000	Dynamic	4.846135	2.452532	1.908098	0.965650
5	4	2	4	4000	Y	372.216	5957	24000	Dynamic	4.840378	2.510650	1.823641	0.945902
6	4	2	4	4000	Y	380.637	5957	24000	Dynamic	4.810681	2.499963	1.853003	0.962948
7	4	2	4	4000	Y	381.545	5957	24000	Dynamic	4.767625	2.458347	1.840753	0.949154
