Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	3750	N	448.004	7457	22500	Dynamic	4.853467	2.397868	2.196410	1.085142
2	4	0	4	3750	N	416.416	8874	21083	Dynamic	4.919119	2.385690	2.071653	1.004717
3	4	0	4	3750	N	545.05	8412	21545	Dynamic	4.719273	2.314700	2.594626	1.272607
4	4	0	4	3750	N	419.272	8093	21864	Dynamic	4.915132	2.374466	2.083944	1.006739
5	4	0	4	3750	N	431.271	7457	22500	Dynamic	4.929911	2.417381	2.148560	1.053546
6	4	0	4	3750	N	421.371	7457	22500	Dynamic	4.923412	2.422868	2.096933	1.031925
7	4	0	4	3750	N	438.169	7457	22500	Dynamic	4.901940	2.423435	2.170157	1.072888
