Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	5250	Y	382.808	8957	21000	Dynamic	4.860257	2.448725	1.882652	0.948530
2	4	0	4	5250	Y	377.494	8957	21000	Dynamic	4.762717	2.450535	1.819485	0.936170
3	4	0	4	5250	Y	373.894	8957	21000	Dynamic	4.821193	2.484073	1.824511	0.940062
4	4	0	4	5250	Y	372.975	8957	21000	Dynamic	4.888470	2.488032	1.845406	0.939236
5	4	0	4	5250	Y	375.613	8957	21000	Dynamic	4.905339	2.483346	1.864754	0.944039
6	4	0	4	5250	Y	376.468	8957	21000	Dynamic	4.857522	2.479154	1.850757	0.944578
7	4	0	4	5250	Y	377.439	8957	21000	Dynamic	4.884757	2.471812	1.865882	0.944184
