Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Workload on CPU[#]	Workload on FPGA[#]	Scheduler Type	CPU Power[W]	FPGA Power[W]	CPU Energy[J]	FPGA Energy[J]
1	0	4	0	128	N	2201.69	0	29957	MultiDynamic	3.402649	2.376866	7.500573	5.239406
2	0	4	0	128	N	2200.39	0	29957	MultiDynamic	3.408814	2.371500	7.509801	5.224543
3	0	4	0	128	N	2198.92	0	29957	MultiDynamic	3.399125	2.369120	7.483426	5.215793
4	0	4	0	128	N	2200.12	0	29957	MultiDynamic	3.401270	2.372706	7.492213	5.226523
5	0	4	0	128	N	2199.15	0	29957	MultiDynamic	3.396478	2.373457	7.478382	5.225890
6	0	4	0	128	N	2200.49	0	29957	MultiDynamic	3.396366	2.367431	7.482663	5.215776
7	0	4	0	128	N	2201.11	0	29957	MultiDynamic	3.393323	2.366704	7.478107	5.215674
