Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Work Offloaded on FPGA[%]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	2	1000	N	850.73	20	Dynamic	3.894279	1.504531	3.331373	1.287055
2	4	0	2	1000	N	903.763	22	Dynamic	3.899921	1.512745	3.543008	1.374302
3	4	0	2	1000	N	837.357	23	Dynamic	3.869080	1.517924	3.257378	1.277940
4	4	0	2	1000	N	811.666	20	Dynamic	3.887689	1.509043	3.173871	1.231967
5	4	0	2	1000	N	866.255	26	Dynamic	3.889041	1.517295	3.387166	1.321490
6	4	0	2	1000	N	758.598	20	Dynamic	3.898402	1.518590	2.975756	1.159180
7	4	0	2	1000	N	772.021	20	Dynamic	3.890673	1.513485	3.027627	1.177757
