Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	CPU Power[W]	FPGA Power[W]	CPU Energy[J]	FPGA Energy[J]
1	4	4	0	250	N	1196.59	8029	21928	Dynamic	2.081906	2.119189	2.501055	2.545843
2	4	4	0	250	N	1139.23	7957	22000	Dynamic	2.093878	2.135139	2.395282	2.442483
3	4	4	0	250	N	1135.26	7707	22250	Dynamic	2.094513	2.130645	2.387805	2.428997
4	4	4	0	250	N	1411.71	6957	23000	Dynamic	2.034075	2.104151	2.881114	2.980372
5	4	4	0	250	N	1297.49	5831	24126	Dynamic	2.068470	2.123584	2.693622	2.765393
6	4	4	0	250	N	1129.4	9252	20705	Dynamic	2.078557	2.120747	2.357328	2.405176
7	4	4	0	250	N	1282.8	7207	22750	Dynamic	2.064221	2.115895	2.657739	2.724270
