Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	CPU Power[W]	FPGA Power[W]	CPU Energy[J]	FPGA Energy[J]
1	4	4	0	1750	N	1104.44	5660	24296	Dynamic	1.988955	2.070059	2.205914	2.295865
2	4	4	0	1750	N	1117	5649	24308	Dynamic	2.047622	2.054087	2.296848	2.304100
3	4	4	0	1750	N	1011.72	5739	24217	Dynamic	2.075586	2.090458	2.109711	2.124827
4	4	4	0	1750	N	1062.95	6337	23620	Dynamic	2.034250	2.077336	2.171905	2.217906
5	4	4	0	1750	N	1036.2	5609	24348	Dynamic	2.057298	2.074006	2.141527	2.158920
6	4	4	0	1750	N	1237.65	6789	23168	Dynamic	1.981454	2.063619	2.461671	2.563749
7	4	4	0	1750	N	1046.81	5292	24665	Dynamic	2.076000	2.063211	2.186823	2.173351
