Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	0	500	N	686.624	29957	0	Dynamic	4.863597	2.361908	3.362462	1.632912
2	4	0	0	500	N	683.586	29957	0	Dynamic	4.835714	2.357981	3.328496	1.623034
3	4	0	0	500	N	683.571	29957	0	Dynamic	4.849763	2.356993	3.338077	1.622311
4	4	0	0	500	N	683.998	29957	0	Dynamic	4.852549	2.364993	3.342095	1.628841
5	4	0	0	500	N	683.461	29957	0	Dynamic	4.856876	2.365967	3.342613	1.628312
6	4	0	0	500	N	686.824	29957	0	Dynamic	4.852246	2.361001	3.355581	1.632755
7	4	0	0	500	N	686.86	29957	0	Dynamic	4.870157	2.369007	3.368221	1.638415
