Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	0	750	N	683.835	29957	0	Dynamic	4.854451	2.365926	3.342631	1.629107
2	4	0	0	750	N	683.242	29957	0	Dynamic	4.858111	2.366970	3.342309	1.628441
3	4	0	0	750	N	683.602	29957	0	Dynamic	4.857696	2.363958	3.343691	1.627180
4	4	0	0	750	N	683.673	29957	0	Dynamic	4.859765	2.362981	3.345399	1.626646
5	4	0	0	750	N	683.514	29957	0	Dynamic	4.854826	2.359952	3.341267	1.624204
6	4	0	0	750	N	686.544	29957	0	Dynamic	4.861639	2.365030	3.360672	1.634858
7	4	0	0	750	N	683.881	29957	0	Dynamic	4.845505	2.352936	3.336619	1.620234
