Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	0	4000	N	683.746	29957	0	Dynamic	4.849695	2.365943	3.338825	1.628859
2	4	0	0	4000	N	686.412	29957	0	Dynamic	4.840711	2.357071	3.345604	1.629063
3	4	0	0	4000	N	686.664	29957	0	Dynamic	4.857507	2.361043	3.358475	1.632423
4	4	0	0	4000	N	686.404	29957	0	Dynamic	4.849525	2.359925	3.351771	1.631073
5	4	0	0	4000	N	686.239	29957	0	Dynamic	4.832011	2.355083	3.338772	1.627290
6	4	0	0	4000	N	687.321	29957	0	Dynamic	4.857969	2.363044	3.362001	1.635365
7	4	0	0	4000	N	683.024	29957	0	Dynamic	4.849114	2.356975	3.335105	1.621071
