Run[#]	CPU Cores[#]	FPGA HP Accelerators[#]	FPGA HPC Accelerators[#]	Chunk Size[#]	IOCTL Enabled	Execution Time[ms]	Rows on CPU[#]	Rows on FPGA[#]	Scheduler Type	Total Power[W]	FPGA Power[W]	Total Energy[J]	FPGA Energy[J]
1	4	0	4	4000	N	383.583	5957	24000	Dynamic	5.245987	2.712831	2.036124	1.052931
2	4	0	4	4000	N	395.564	5957	24000	Dynamic	5.185669	2.714468	2.074830	1.086082
3	4	0	4	4000	N	374.997	6530	23427	Dynamic	5.303435	2.706639	2.013733	1.027720
4	4	0	4	4000	N	396.142	5957	24000	Dynamic	5.177810	2.688374	2.074632	1.077171
5	4	0	4	4000	N	425.62	7645	22312	Dynamic	5.175337	2.633330	2.227148	1.133224
6	4	0	4	4000	N	384.292	5957	24000	Dynamic	5.254947	2.712136	2.043440	1.054642
7	4	0	4	4000	N	389.79	5957	24000	Dynamic	5.186129	2.684461	2.045145	1.058614
